Iteration:   (1/5)
Sample size: 100
Accuracy:    0.4
GLEU:        0.58
Time:        34.79s

===

Source	Target	Translation	Accuracy	GLEU
Tom didn't drink the milk.	Tom drak ikke mælken.	Jeg valgte det forkerte svar.	False	0.0
I wish I hadn't married you.	Jeg ville ønske at jeg ikke havde giftet mig med dig.	Jeg ville ønske at jeg ikke MISSING END? "Jeg vil ikke spise morgenmad"	False	0.391304347826087
I think that ghosts exist.	Jeg tror at der findes spøgelser.	jeg tager på arbejde i at det	False	0.045454545454545456
He came back home a while ago.	Han vendte hjem for et stykke tid siden.	Han vendte hjem for et stykke tid	False	0.8461538461538461
Hunting is not allowed in national parks.	Jagt er ikke tilladt i nationalparker.	Rygning er ikke tilladt inde i elevatoren.	False	0.3181818181818182
Don't you see the birds?	Kan du ikke se fuglene?	Hvor så du kvinden?	False	0.07142857142857142
The old man was loved by everyone.	Den gamle mand blev elsket af alle.	Den gamle mand var elsket af alle.	False	0.5454545454545454
Tom called it a day.	Tom kaldte det en dag.	Tom dræbte edderkoppen.	False	0.07142857142857142
Do you want to see me do cartwheels?	Vil du se mig slå vejrmøller?	Vil du se noget sejt?	False	0.3333333333333333
This telephone is out of order.	Denne telefon virker ikke.	Denne telefon er i uorden.	False	0.21428571428571427
He can speak 10 languages.	Han kan tale 10 sprog.	på tredive sprog sige Jeg taler kun fransk.	False	0.0
We must do something to stop this madness.	Vi må gøre noget for at stoppe denne galskab.	Vi må gøre noget for at stoppe dette	False	0.7333333333333333
I asked everyone what that was.	Jeg har spurgt alle hvad det var.	Jeg spurgte alle hvad det var.	False	0.5
Tom applied for a visa.	Tom har søgt om visum.	blev hængt for et mord som MISSING END? "for et mord som han"	False	0.0
I know I'm not the brightest girl in the world.	Jeg ved godt jeg ikke er den mest begavede pige i verden.	Jeg ved godt jeg er ikke den kvikkeste pige i	False	0.38095238095238093
There's food in the fridge.	Der er mad i køleskabet.	er et uhyre under min post i MISSING END? "er ingen post i postkassen."	False	0.04
Tom sat under a tree, reading a book.	Tom sad under et træ og læste en bog.	Tom sad under et træ og læste en	False	0.8666666666666667
I had a hard time finding his house.	Jeg havde svært ved at finde hans hus.	havde en hård tid efter krigen.	False	0.038461538461538464
We have a lot of snow in the winter.	Vi har meget sne om vinteren.	Vi har masser af tid.	False	0.16666666666666666
A hare raced with a tortoise.	En hare løb om kap med en skildpadde.	En hare løb om kap med MISSING END? "Alle muligheder er på bordet."	False	0.391304347826087
It's been 10 days since my boyfriend went to jail.	Det er ti dage siden min kæreste blev sat i fængsel.	Det er ti dage siden min kæreste blev sat i	False	0.8947368421052632
Is that Wall Street jargon?	Er det Wall Street-jargon?	Landsbyen var død efter solnedgang.	False	0.0
I like to play the piano.	Jeg kan godt lide at spille klaver.	Jeg kan lide at spille piano.	False	0.4090909090909091
I was caught in a shower on my way to the station.	Jeg blev på vej til stationen fanget af en byge.	I går blev jeg fanget en regnskylle af en regnskylle på vej hjem.	False	0.17391304347826086
I saw Tom hide something.	Jeg så Tom skjule noget.	har lige set Tom og Mary MISSING END? "Jeg vidste at Tom holdt"	False	0.021739130434782608
How come he didn't show up?	Hvordan kan det være at han ikke dukkede op?	Hvordan kan det være at han	False	0.6
We can't ignore Tom's past.	Vi kan ikke ignorere Toms fortid.	Vi kan ikke hjælpe Tom.	False	0.3333333333333333
The girl is smelling the flowers.	Pigen dufter til blomsterne.	Pigen lugter til blomsterne.	False	0.4
We have to find a new market for these products.	Vi er nødt til at finde et nyt marked for disse produkter.	Vi er nødt til at finde et nyt marked for	False	0.8095238095238095
I thought we were friends.	Jeg troede vi var venner.	ved denne tid var vi i MISSING END? "tid var vi i biografen."	False	0.043478260869565216
That boy is a chatterbox.	Den dreng er et sludrechatol.	hvorfor Mary er i dårligt humør.	False	0.05555555555555555
I didn't know Tom would cry.	Jeg vidste ikke at Tom ville græde.	Jeg vidste ikke at Tom ville	False	0.8181818181818182
I don't understand this word.	Jeg forstår ikke dette ord.	kunne ikke fortsætte med at forstå et	False	0.045454545454545456
Tom's wallet is almost empty.	Toms tegnebog er næsten tom.	er næsten fem miles lang.	False	0.21428571428571427
We hope it doesn't rain.	Vi håber at det ikke regner.	gøre tingene værre begyndte det at	False	0.1111111111111111
I assume you googled me.	Jeg antager at du har googlet mig.	er træt af at høre har MISSING END? "Jeg kom til Japan fra"	False	0.043478260869565216
He's been sick in bed for four days.	Han har ligget syg i sengen i fire dage.	Han har ligget syg i sengen i fire	False	0.8666666666666667
