Iteration:   (3/5)
Sample size: 100
Accuracy:    0.37
GLEU:        0.58
Time:        33.76s

===

Source	Target	Translation	Accuracy	GLEU
It's not a big deal.	Det gør ikke noget.	Jeg har Toms nøgle.	False	0.0
She glanced briefly at the newspaper.	Hun kiggede kortvarigt på avisen.	ankom til stationen, skulle toget lige ved festen jeg ved.	False	0.0
Tom has a lot of willpower.	Tom har masser af viljestyrke.	Han har mange bøger om historie.	False	0.05555555555555555
Did you order the book?	Bestilte du bogen?	guitar for at betale huslejen.	False	0.0
Mary is a rich girl.	Mary er en rig pige.	skrædder, og Mary er frisør.	False	0.21428571428571427
I want to become a TV announcer in the future.	Jeg ønsker at blive en tv-speaker i fremtiden.	Jeg ønsker at blive fransklærer.	False	0.38461538461538464
He has the habit of spitting on the ground.	Han plejer at spytte på jorden.	Han har for vane at spytte på jorden.	False	0.4230769230769231
Tom is writing an essay.	Tom er i gang med at skrive et essay.		False	0.0
The chocolate cake was delicious.	Chokoladekagen var delikat.	Det var heldigt for mig at MISSING END? "heldigt for mig at toget"	False	0.021739130434782608
The only question is where.	Det eneste spørgsmål er hvor.	Patienten var i fare.	False	0.0
What is the book about?	Hvad handler bogen om?	Jeg har i går læst bogen MISSING END? "i går læst bogen indtil"	False	0.021739130434782608
I don't have any sisters.	Jeg har ikke søstre.	Jeg drikker næsten aldrig neskaffe.	False	0.07142857142857142
I decided not to go to Europe.	Jeg besluttede, ikke at tage til Europa.	Jeg besluttede, ikke at tage til at gå festen.	False	0.6
Tom will need all the help he can get.	Tom får brug for al den hjælp, han kan få.	Tom får brug for al den den hjælp hjælp som vi	False	0.47368421052631576
The girl let the bird loose.	Pigen slap fuglen fri.	Pigen slap fuglen løs.	False	0.6
I must've left my umbrella on the bus.	Jeg må have glemt min paraply i bussen.	Det ser ud til at jeg har toget.	False	0.0
Why don't we come back here again tomorrow?	Hvorfor kommer vi ikke her tilbage igen i morgen?	Hvorfor kommer vi ikke her tilbage igen i	False	0.8666666666666667
Two and two is four.	To og to er fire.	hus der har seks værelser.	False	0.0
The bank opens at 9 a.m. and closes at 3 p.m.	Banken åbner klokken 9 og lukker klokken 15.	Banken åbner klokken 9 og lukker	False	0.6923076923076923
I slept on my stomach.	Jeg sov på maven.	han ikke kan arbejde på tom	False	0.05555555555555555
You love your wife, right?	Du elsker din hustru, gør du ikke?		False	0.0
This is just a hypothesis.	Dette er bare en hypotese.	sandsynligvis bare et eller to år MISSING END? "et eller to år yngre"	False	0.021739130434782608
Tom emptied the bucket of water.	Tom tømte spanden med vand.	En del af taget faldt af.	False	0.0
It's Tom you should be angry with.	Det er Tom du skal være sur på.	Det er Tom du skal være vred MISSING END? "Det er Toms trediveårsfødselsdag i"	False	0.36
I bought two pairs of pants.	Jeg købte to par bukser.	Jeg har købt to par bukser.	False	0.3888888888888889
