Iteration:   (4/5)
Sample size: 100
Accuracy:    0.38
GLEU:        0.57
Time:        31.55s

===

Source	Target	Translation	Accuracy	GLEU
I don't have a son named Tom.	Jeg har ikke en søn der hedder Tom.	Jeg har ikke en søn der hedder	False	0.8461538461538461
Tom has a girl back home.	Tom har en pige derhjemme.	sandsynligvis faldet i søvn bag en et stykke stykke som et barn.	False	0.023809523809523808
The light has turned green.	Lyset er blevet grønt.	ud efter kontakten og slukkede lyset.	False	0.0
Tom has started writing a novel.	Tom er begyndt på at skrive en roman.	Tom er begyndt på at skrive	False	0.6923076923076923
Tom is reading the Bible.	Tom sidder og læser Bibelen.	Tom er ikke et kattemenneske.	False	0.07142857142857142
My dog wants to play.	Min hund vil lege.	Jeg har trænet min hund til MISSING END? "trænet min hund til at"	False	0.021739130434782608
Could you please turn your television down?	Vil du være så venlig at skrue ned fjernsynet?	Kan du venligst skrue ned for fjernsynet?	False	0.16666666666666666
I have a slight headache.	Jeg har en let hovedpine.	Det ser ud til at jeg MISSING END? "ud til at jeg har"	False	0.0
Tom called me a scaredy-cat.	Tom kaldte mig en bangebuks.	Kunne du hente et glas vand MISSING END? "hente et glas vand til"	False	0.0
I've never met Tom's parents.	Jeg har aldrig mødt Toms forældre.	Jeg skulle aldrig have kysset Toms	False	0.16666666666666666
Tom's wallet is almost empty.	Toms pengepung er næsten tom.	er næsten fem miles lang.	False	0.21428571428571427
Tom knew I was busy.	Tom vidste at jeg havde travlt.	Jeg vil have dig.	False	0.0
Tom doesn't need glasses anymore.	Tom har ikke længere brug for briller.	behøver ikke længere at gå med	False	0.13636363636363635
That looks delicious. I'd like to try it.	Det ser lækkert ud. Det vil jeg gerne prøve.	gerne have den gave pakket tænke mig	False	0.03333333333333333
Who are all these people?	Hvem er alle de her mennesker?	Hun er gift med en æbler	False	0.05555555555555555
Red is out of fashion.	Rødt er ikke mere på mode.	Miniskørter er gået af mode.	False	0.1111111111111111
How much do you make?	Hvor meget tjener du?	Hvor mange vil I blive?	False	0.07142857142857142
I just found out Tom is dead.	Jeg har lige fundet ud af at Tom er død.	Jeg har lige fundet ud af at	False	0.6470588235294118
I want an answer from you as soon as possible.	Jeg vil gerne have et svar fra dig så hurtigt som muligt.	Jeg vil gerne have et svar fra dig så hurtigt	False	0.8095238095238095
You look like Harry Potter.	Du ligner Harry Potter.	Har du vanter?	False	0.0
