Go.	Gå!
Who cares?	Og hvad så?
Who cares?	Gør det noget?
Who is he?	Hvem er han?
Who knows?	Hvem ved?
Who's Tom?	Hvem er Tom?
You stink.	Du stinker.
You stink.	I stinker.
Am I right?	Har jeg ret?
Am I wrong?	Tager jeg fejl?
Are you up?	Er du stået op?
Ask anyone.	Spørg hvem som helst.
Be careful!	Vær forsigtig!
Be careful!	Pas på!
Be careful.	Vær forsigtig!
Be careful.	Pas på!
Birds sing.	Fugle synger.
Can I help?	Kan jeg være til hjælp?
Choose one.	Vælg en.
Definitely!	Helt sikkert!
Drink this.	Drik det her!
Duty calls.	Pligten kalder.
Find a job.	Find et job!
Find a job.	Find et arbejde!
Fire burns.	Ild brænder.
Forgive us.	Tilgiv os.
Give it up.	Opgiv det!
God exists.	Gud eksisterer.
Good night.	God nat.
He hung up.	Han lagde på.
He is a DJ.	Han er dj.
He is a DJ.	Han er DJ.
He is kind.	Han er venlig.
He is nice.	Han er venlig.
He is sick.	Han er syg.
He's Swiss.	Han er schweizer.
He's cruel.	Han er grusom.
He's lying.	Han lyver.
Here he is!	Her er han!
How absurd!	Hvor absurd!
Hurry back.	Skynd dig tilbage.
I am a man.	Jeg er en mand.
I am a man.	Jeg er et menneske.
I am happy.	Jeg er lykkelig.
I built it.	Jeg byggede det.
I built it.	Jeg har bygget det.
I doubt it.	Det tvivler jeg på.
I eat meat.	Jeg spiser kød.
I feel old.	Jeg føler mig gammel.
I got lost.	Jeg for vild.
I got lost.	Jeg fór vild.
I have one.	Jeg har en.
I have one.	Jeg har én.
I just ate.	Jeg har lige spist.
I just ate.	Jeg har netop spist.
I like you.	Jeg holder af dig.
I love Tom.	Jeg elsker Tom.
I love her.	Jeg elsker hende.
I love him.	Jeg elsker ham.
I love tea.	Jeg elsker te.
I miss you.	Jeg savner dig.
I need ice.	Jeg har brug for is.
I need you.	Jeg har brug for dig.
I need you.	Jeg har brug for jer.
I remember.	Jeg husker det.
I sat down.	Jeg satte mig.
I think so.	Jeg tror det.
I want you.	Jeg vil have dig.
I was busy.	Jeg havde travlt.
I was busy.	Jeg var optaget.
I was home.	Jeg var hjemme.
I work out.	Jeg træner.
I work out.	Jeg motionerer.
I work out.	Jeg dyrker motion.
I'm a hero.	Jeg er en helt.
I'm a twin.	Jeg er en tvilling.
I'm better.	Jeg er bedre.
I'm buying.	Jeg køber.
I'm chubby.	Jeg er buttet.
I'm coming.	Jeg kommer.
I'm eating.	Jeg er ved at spise.
I'm eating.	Jeg spiser.
I'm eating.	Jeg sidder og spiser.
I'm hungry!	Jeg er sulten!
I'm hungry.	Jeg er sulten.
I'm hungry.	Jeg er sulten!
I'm lonely.	Jeg er ensom.
I'm so fat.	Jeg er så tyk.
I'm soaked.	Jeg er gennemblødt.
I'm thirty.	Jeg er tredive.
I'm twelve.	Jeg er tolv.
Is Tom shy?	Er Tom genert?
Is it blue?	Er den blå?
Is it blue?	Er det blåt?
Is it free?	Er den gratis?
Is it free?	Er det gratis?
Is that it?	Er det alt?
It's my CD.	Det er min cd.
It's taboo.	Det er tabu.
It's there.	Den er der.
It's water.	Det er vand.
Let me see.	Lad mig se.
Let's vote.	Lad os stemme.
Never mind!	Blæse være med det!
Never mind!	Bryd dig ikke om det!
Never mind!	Selv tak!
No kidding?	Er det rigtigt?
No kidding?	Er det sandt?
Quiet down.	Tag det roligt!
Quiet down.	Vær stille.
Say please.	Sig: "Bed om."
Shadow him.	Skyg ham!
She is old.	Hun er gammel.
She smiled.	Hun smilede.
She smiled.	Hun smilte.
Sing along.	Syng med!
Stay quiet.	Vær stille.
Stop lying.	Hold op med at lyve.
Take a nap.	Tag en lur.
Take cover!	Søg dækning!
Take cover!	Gå i dækning!
Taste this.	Smag dette.
They voted.	De har stemt.
They voted.	De stemte.
Tom danced.	Tom dansede.
Tom dances.	Tom danser.
Tom drinks.	Tom drikker.
Tom drives.	Tom kører.
Tom helped.	Tom hjalp.
Tom is big.	Tom er stor.
Tom nodded.	Tom nikkede.
Tom phoned.	Tom telefonerede.
Tom phoned.	Tom har ringet.
Tom phoned.	Tom ringede.
Tom saw me.	Tom så mig.
Tom talked.	Tom talte.
Tom waited.	Tom ventede.
Tom walked.	Tom spadserede.
Tom walked.	Tom gik.
Tom walked.	Tom gik til fods.
Tom's dead.	Tom er død.
Tom's here.	Tom er her.
Tom's sick.	Tom er syg.
Wait a bit.	Vent lidt.
We all lie.	Vi lyver alle.
We are men.	Vi er mænd.
We made it.	Vi klarede det!
We made it.	Vi gjorde det!
We saw Tom.	Vi så Tom.
We'll stay.	Vi bliver.
We're boys.	Vi er drenge.
What a day!	Sikke en dag!
What is it?	Hvad er det?
Who did it?	Hvem har gjort det?
Who did it?	Hvem gjorde det?
Who is Tom?	Hvem er Tom?
Wood burns.	Træ brænder.
You decide.	Du bestemmer.
You're big.	Du er stor.
You're old.	Du er gammel.
You're old.	I er gamle.
All is well.	Alt er godt.
Are you mad?	Er du gal?
Be prepared.	Vær beredt!
Be prepared.	Vær forberedt!
Can we help?	Kan vi hjælpe?
Clean it up.	Gør det rent.
Do it again!	Gør det igen!
Do it again.	Gør det igen.
Do you fish?	Fisker du?
Don't do it.	Gør det ikke.
Don't leave.	Gå ikke.
Don't shoot!	Skyd ikke!
Don't shoot.	Skyd ikke!
Don't worry.	Gør dig ingen bekymringer.
Flip a coin.	Slå plat eller krone.
Forgive Tom.	Tilgiv Tom!
Get started.	Kom i gang!
Get started.	Kom ud af starthullerne!
Get started.	Kom i sving!
Have we met?	Kender vi hinanden?
He can swim.	Han kan svømme.
He helps us.	Han hjælper os.
He is lying.	Han lyver.
He is nasty.	Han er led.
He is nasty.	Han er ondskabsfuld.
He's a liar.	Han er en løgner.
He's strong.	Han er stærk.
Hear me out.	Lad mig tale ud.
Hear me out.	Lad mig tale færdig.
Help me out.	Hjælp mig.
Help me out.	Kom mig til hjælp.
How are you?	Hvordan har du det?
How strange!	Hvor mærkeligt!
I am a monk.	Jeg er en munk.
I am a monk.	Jeg er munk.
I am a twin.	Jeg er en tvilling.
I am better.	Jeg er bedre.
I am coming.	Jeg kommer.
I can't see.	Jeg kan ikke se!
I confessed.	Jeg tilstod.
I confessed.	Jeg skriftede.
I eat fruit.	Jeg spiser frugt.
I got angry.	Jeg blev vred.
I hate mice.	Jeg hader mus.
I hate pigs.	Jeg hader svin.
I hate sand.	Jeg hader sand.
I have wine.	Jeg har vin.
I like dogs.	Jeg kan lide hunde.
I like jazz.	Jeg kan lide jazz.
I live here.	Jeg bor her.
I live here.	Jeg lever her.
I lost face.	Jeg har tabt ansigt.
I love beef.	Jeg elsker oksekød.
I love rock.	Jeg elsker rock.
I love snow.	Jeg elsker sne.
I never win.	Jeg vinder aldrig.
I saved you.	Jeg har reddet dig.
I saved you.	Jeg har reddet jer.
I saw a UFO.	Jeg så en ufo.
I saw a dog.	Jeg så en hund.
I trust him.	Jeg stoler på ham.
I was bored.	Jeg kedede mig.
I was lucky.	Jeg var heldig.
I was lying.	Jeg løj.
I was lying.	Jeg lå.
I was tired.	Jeg var træt.
I went home.	Jeg gik hjem.
I won again.	Jeg vandt igen.
I work here.	Jeg arbejder her.
I'll go now.	Jeg går nu.
I'm Melanie.	Jeg er Melanie.
I'm a child.	Jeg er et barn.
I'm a nurse.	Jeg er en sygeplejerske.
I'm a nurse.	Jeg er sygeplejerske.
I'm a vegan.	Jeg er veganer.
I'm a woman.	Jeg er en kvinde.
I'm a woman.	Jeg er kvinde.
I'm at home.	Jeg er hjemme.
I'm curious.	Jeg er nysgerrig.
I'm dancing.	Jeg danser.
I'm jealous.	Jeg er jaloux.
I'm married.	Jeg er gift.
I'm not Tom.	Jeg er ikke Tom.
I'm not old.	Jeg er ikke gammel.
I'm psychic.	Jeg er synsk.
I'm teasing.	Jeg driller.
I'm thirsty.	Jeg er tørstig.
I'm waiting.	Jeg venter.
Is Tom here?	Er Tom her?
Is it clean?	Er det rent?
Is it yours?	Er det din?
Is it yours?	Er det jeres?
Is that all?	Er det alt?
It can't be!	Umuligt!
It is there.	Den er der.
It was dark.	Det var mørkt.
It's Monday.	Det er mandag.
It's a joke.	Det er en joke.
It's a pity.	Det er en skam.
It's a snap.	Det er en let sag.
It's a snap.	Det er ingen sag.
It's absurd.	Det er absurd.
It's boring.	Det her er kedeligt.
It's cloudy.	Det er skyet.
It's secret.	Det er hemmeligt.
It's simple.	Det er simpelt.
It's stormy.	Det stormer.
Let me help.	Lad mig hjælpe til.
Let's begin.	Lad os begynde.
Let's begin.	Lad os gå i gang.
Let's drink.	Lad os få noget at drikke.
Let's go in.	Lad os gå ind.
Lunch is on.	Frokosten er klar.
No means no.	Nej betyder nej.
Nobody lied.	Ingen løj.
OK, you win.	OK, du vinder.
OK, you win.	O.k., du vinder.
OK, you win.	Ok, du vinder.
OK, you win.	OK, I vinder.
OK, you win.	O.k., I vinder.
OK, you win.	Ok, I vinder.
Plants grow.	Planter vokser.
Please clap.	Værsgo at klappe!
Pray for me.	Bed for mig!
Send Tom up.	Send Tom op.
She's a dog.	Hun er en grimrian.
She's a fox.	Hun er en sild.
Take a bite.	Tag en bid!
Take a look.	Tag et kig.
Take a seat.	Sid ned!
Take a seat.	Sæt jer!
Take a seat.	Tag plads!
Take a walk.	Gå en tur.
Take it all.	Tag det hele.
Take my car.	Tag min bil.
Talk slower.	Tal langsommere.
That's cool.	Det er cool.
That's free.	Det er gratis.
That's true.	Det passer.
That's true.	Det er sandt.
That's true.	Det stemmer.
The TV's on.	Tv'et er tændt.
The TV's on.	Fjernsynet er tændt.
They smiled.	De smilede.
They smiled.	De smilte.
Tom blushed.	Tom rødmede.
Tom did lie.	Tom løj jo.
Tom is cool.	Tom er cool.
Tom is dead.	Tom er død.
Tom is poor.	Thomas er fattig.
Tom is rich.	Tom er rig.
Tom is sick.	Tom er syg.
Tom is tall.	Tom er høj.
Tom is vain.	Tom er indbildsk.
Tom laughed.	Tom lo.
Tom mumbled.	Tom mumlede.
Tom said no.	Tom sagde nej.
Tom saw him.	Tom så ham.
Tom teaches.	Tom underviser.
Tom was big.	Tom var stor.
Tom'll call.	Tom vil ringe.
Tom's alive.	Tom er i live.
Tom's alone.	Tom er alene.
Tom's drunk.	Tom er beruset.
Tom's drunk.	Tom er fuld.
Vote for me!	Stem på mig!
We ate eggs.	Vi spiste æg.
We hate Tom.	Vi hader Tom.
We just met.	Vi har lige mødt hinanden.
We know you.	Vi kender dig.
We know you.	Vi kender jer.
We like him.	Vi kan lide ham.
We're clean.	Vi er rene.
We're sorry.	Vi beklager.
We're tired.	Vi er trætte.
What a pity!	Sikke en skam!
What is art?	Hvad er kunst?
What's next?	Hvad kommer der derefter?
What's that?	Hvad er det?
Where is he?	Hvor er han?
Where's Tom?	Hvor er Tom?
Who are you?	Hvem er du?
Who's tired?	Hvem er træt?
Write to me.	Skriv til mig!
Yes, I know.	Ja, jeg ved det.
You are big.	Du er stor.
You know me.	Du kender mig.
You're here.	Du er her!
You're lazy.	Du er doven.
You're lazy.	I er dovne.
You're sick!	Du er syg!
You're sick.	Du er syg!
Are you busy?	Er du optaget?
Are you lost?	Er du faret vild?
Are you nuts?	Er du gal?
Are you nuts?	Er du skør?
Are you sure?	Er du sikker?
Be merciless.	Vær skånselsløs!
Can Tom sing?	Kan Tom synge?
Can you swim?	Kan du svømme?
Come on, Tom.	Kom nu, Tom!
Come with me.	Kom med mig!
Come with me.	Kom med mig.
Deal with it.	Affind dig med det.
Deal with it.	Tag dig af det!
Did Tom call?	Har Tom ringet?
Did you help?	Hjalp du?
Do you smoke?	Ryger du?
Do your best!	Gør dit bedste!
Do your best!	Gør det så godt du kan!
Do your duty.	Gør dit arbejde.
Does it work?	Virker det?
Find the cat.	Find katten.
Give me time.	Giv mig tid.
Go away, Tom.	Gå væk, Tom!
Go for broke!	Giv den hele armen!
Go for broke!	Sæt alt på ét bræt!
Go to school.	Gå i skole!
Good evening.	Godaften!
Good morning.	Godmorgen!
Happy Easter!	God påske!
Happy Easter!	Glædelig påske!
Have a drink.	Tag en drink.
He denied it.	Han benægtede det.
He got angry.	Han blev vred.
He has a car.	Han har bil.
He has a car.	Han har en bil.
He has a dog.	Han har en hund.
He is a poet.	Han er digter.
He is eating.	Han er ved at spise.
He is eating.	Han spiser.
He must come.	Han skal komme.
He's a goner.	Han er en færdig mand.
Here you are.	Værsgo.
How dare you!	Hvor vover du!
How horrible!	Hvor skrækkeligt!
How horrible!	Hvor forfærdeligt!
How horrible!	Det er forfærdeligt.
How horrible!	Det er skrækkeligt.
How horrible!	Hvor er det forfærdeligt.
How's school?	Hvordan går det i skolen?
I am Chinese.	Jeg er kineser.
I am Chinese.	Jeg er en kineser.
I am a nurse.	Jeg er en sygeplejerske.
I am a nurse.	Jeg er sygeplejerske.
I am a woman.	Jeg er en kvinde.
I am a woman.	Jeg er kvinde.
I am at home.	Jeg er hjemme.
I am curious.	Jeg er nysgerrig.
I ate apples.	Jeg spiste æbler.
I can't help.	Jeg kan ikke hjælpe.
I can't sing.	Jeg kan ikke synge.
I don't care.	Det blæser jeg på.
I don't know.	Jeg ved ikke.
I don't know.	Jeg ved det ikke.
I don't read.	Jeg læser ikke.
I eat cheese.	Jeg spiser ost.
I have a cat.	Jeg har en kat.
I have a dog.	Jeg har en hund.
I have a gun.	Jeg har en pistol.
I have a pen.	Jeg har en kuglepen.
I have to go.	Jeg er nødt til at gå.
I hugged her.	Jeg omfavnede hende.
I know a way.	Jeg kender en vej.
I like books.	Jeg elsker bøger.
I like sugar.	Jeg elsker sukker.
I live alone.	Jeg bor alene.
I love books.	Jeg elsker bøger.
I love money.	Jeg elsker penge.
I need a saw.	Jeg har brug for en sav.
I never lose.	Jeg taber aldrig.
I never swim.	Jeg svømmer aldrig.
I often read.	Jeg læser tit.
I often read.	Jeg læser ofte.
I see a book.	Jeg ser en bog.
I see a lion.	Jeg ser en løve.
I see a rose.	Jeg ser en rose.
I see a star.	Jeg ser en stjerne.
I understand.	Jeg forstår.
I want to go.	Jeg ønsker at gå.
I was hungry.	Jeg var sulten.
I won't lose!	Jeg taber ikke!
I wonder why.	Jeg gad vide hvorfor.
I'll be late.	Jeg kommer for sent.
I'll get one.	Jeg vil hente en.
I'll get one.	Jeg henter en.
I'll pay you.	Jeg vil betale dig.
I'm Canadian.	Jeg er canadisk.
I'm a mother.	Jeg er mor.
I'm a mother.	Jeg er en mor.
I'm all ears.	Jeg er lutter øren.
I'm dyslexic.	Jeg er ordblind.
I'm finished.	Jeg er færdig.
I'm freezing.	Jeg fryser.
I'm in a jam.	Jeg sidder fast i en trafikprop.
I'm not bald.	Jeg er ikke skaldet.
I'm not deaf.	Jeg er ikke døv.
I'm not home.	Jeg er ikke hjemme.
I'm not sure.	Jeg er ikke sikker.
I'm not well.	Jeg har det skidt.
I'm pregnant.	Jeg er gravid.
I'm starving.	Jeg er hundesulten.
I'm studying.	Jeg studerer.
I'm the best.	Jeg er den bedste.
Is Tom lying?	Lyver Tom?
Is that blue?	Er det blåt?
It is a book.	Det er en bog.
It was black.	Den var sort.
It was black.	Det var sort.
It was pizza.	Det var pizza.
It'll be hot.	Det bliver varmt.
It's bedtime.	Det er sengetid.
It's for Tom.	Det er til Tom.
It's for Tom.	Den er til Tom.
It's hailing.	Det hagler.
It's raining.	Det regner.
It's snowing.	Det sner.
It's the law.	Sådan er loven.
It's too big.	Den er for stor.
It's too big.	Det er for stort.
It's too hot.	Det er for varmt.
It's unusual.	Det er usædvanligt.
Keep focused.	Koncentrer dig.
Keep focused.	Hold fokus.
Keep focused.	Koncentrér dig.
Learn French.	Lær fransk.
Let me do it.	Lad mig!
Let me do it.	Lad mig gøre det.
Let me think.	Lad mig tænke.
Let's try it.	Lad os prøve!
Mary is cute.	Mary er sød.
Mary is tall.	Maria er høj.
Men are pigs.	Mænd er svin.
Mull it over.	Overvej det.
My eyes hurt.	Mine øjne gør ondt.
No, I'll pay.	Nej, jeg betaler.
Nobody asked.	Ingen spurgte.
Nobody knows.	Ingen ved det.
Now I get it.	Nu forstår jeg.
Now I get it.	Nu forstår jeg det.
Put these on.	Tag de her på.
Put these on.	Tag disse på.
See you soon!	Vi ses!
Shame on you!	Skam dig!
She helps us.	Hun hjælper os.
She is a fox.	Hun er en sild.
She knows me.	Hun kender mig.
She liked it.	Hun kunne lide den.
She may come.	Hun kommer måske.
She was busy.	Hun havde travlt.
Show me that.	Vis mig det.
Speak French.	Tal fransk.
Speak louder.	Tal højere.
Speak slower.	Tal langsommere.
Stay at home.	Bliv hjemme.
Stop smoking.	Stop med at ryge.
Stop smoking.	Hold op med at ryge!
Stop staring.	Hold op med at stirre.
Stop the car.	Stands bilen.
Sweet dreams!	Drøm sødt!
Take a break.	Tag en pause.
Take my hand.	Tag min hånd.
That was fun.	Det var sjovt.
That's a lie.	Det er en løgn.
That's crazy.	Det er vanvittigt.
That's my CD.	Det er min cd.
That's right!	Det er rigtigt!
That's taboo.	Det er tabu.
That's valid.	Det er gyldigt.
They help us.	De hjælper os.
They know me.	De kender mig.
They love it.	De elsker det.
They love us.	De elsker os.
This is easy.	Det er nemt.
This is free.	Det er gratis.
This is meat.	Dette er kød.
This is meat.	Det her er kød.
This is mine.	Den her er min.
This is ours.	Dette er vores.
Tom got beat.	Tom blev tæsket.
Tom got home.	Tom kom hjem.
Tom has come.	Tom er kommet.
Tom hates it.	Tom hader det.
Tom hates me.	Tom hader mig.
Tom is a man.	Tom er en mand.
Tom is a vet.	Tom er veteran.
Tom is a vet.	Tom er dyrlæge.
Tom is alive.	Tom er i live.
Tom is alone.	Tom er alene.
Tom is clean.	Tom er ren.
Tom is drunk.	Tom er beruset.
Tom is drunk.	Tom er fuld.
Tom is nasty.	Tom er led.
Tom is nasty.	Tom er ondskabsfuld.
Tom is quiet.	Tom er stille.
Tom is short.	Tom er kort.
Tom is vegan.	Tom er veganer.
Tom is wrong.	Tom tager fejl.
Tom listened.	Tom lyttede.
Tom needs me.	Tom har brug for mig.
Tom panicked.	Der gik panik i Tom.
Tom ran away.	Tom løb væk.
Tom saw Mary.	Tom så Mary.
Tom stole it.	Tom stjal det.
Tom was home.	Tom var hjemme.
Tom was nosy.	Tom var nysgerrig.
Tom was weak.	Tom var svag.
Tom's a jerk.	Tom er en idiot.
Tom's a jerk.	Tom er et fjols.
Tom's a jerk.	Tom er en nar.
Tom's afraid.	Tom er bange.
Tom's asleep.	Tom sover.
Tom's crying.	Tom græder.
Tom's eating.	Tom spiser.
Tom's eating.	Tom er ved at spise.
Tom's eating.	Tom sidder og spiser.
Tom's greedy.	Tom er grådig.
Tom's scared.	Tom er bange.
Tom's stoned.	Tom er høj.
Tom's stoned.	Tom er skæv.
Tom's stoned.	Tom er stenet.
Try the cake.	Smag på kagen.
Unbelievable!	Utroligt!
Wash the car.	Vask bilen.
We are Arabs.	Vi er arabere.
We got ready.	Vi blev klar.
We had a cat.	Vi havde en kat.
We have rice.	Vi har ris.
We have wine.	Vi har vin.
We love them.	Vi elsker dem.
We're afraid.	Vi er bange.
We're at war.	Vi er i krig.
We're famous.	Vi er berømte.
We're people.	Vi er mennesker.
What a nerve!	Hvor frækt!
What a nerve!	Hvor uforskammet!
What a shame!	Sikke en skam!
What is love?	Hvad er kærlighed?
What is this?	Hvad er det?
What's a UFO?	Hvad er en ufo?
What's wrong?	Hvad er der galt?
Where is Tom?	Hvor er Tom?
Why not both?	Hvorfor ikke begge?
Why not both?	Hvorfor ikke begge to?
You are rude.	Du er uhøflig.
You clean up.	Du rydder op.
You know her.	Du kender hende.
You're cruel.	Du er grusom.
You're fired.	Du er fyret.
You're fired.	Du er fyret!
You're lying!	Du lyver!
You're naive.	Du er naiv.
You're right.	Du har ret.
Am I safe now?	Er jeg i sikkerhed nu?
Any questions?	Nogen spørgsmål?
Are they tall?	Er de høje?
Are you alive?	Er du i live?
Are you alone?	Er du alene?
Are you awake?	Er du vågen?
Are you blind?	Er du blind?
Are you crazy?	Er du gal?
Are you crazy?	Er du skør?
Are you crazy?	Er du vanvittig?
Are you drunk?	Er De fuld?
Are you drunk?	Er du fuld?
Are you happy?	Er I lykkelige?
Are you happy?	Er du lykkelig?
Are you tired?	Er du træt?
Are you tired?	Er I trætte?
Be a good boy.	Vær en god dreng!
Beat the eggs.	Slå æggene ud.
Bring the key.	Bring nøglen.
Call for help.	Ring efter hjælp.
